
+---------------------------------------------+----------------------+------------+--------------+
|[1m [0m[1mmodule                                     [0m[1m [0m|[1m [0m[1m#parameters or shape[0m[1m [0m|[1m [0m[1m#flops    [0m[1m [0m|[1m [0m[1m#activations[0m[1m [0m|
+---------------------------------------------+----------------------+------------+--------------+
| model                                       | 0.146G               | 0.31T      | 0.562G       |
|  level_embed                                |  (4, 256)            |            |              |
|  backbone                                   |  0.126G              |  0.141T    |  85.295M     |
|   backbone.patch_embed                      |   3.264K             |   0.189G   |   3.57M      |
|    backbone.patch_embed.projection          |    3.136K            |    0.171G  |    3.57M     |
|    backbone.patch_embed.norm                |    0.128K            |    17.849M |    0         |
|   backbone.stages                           |   0.126G             |   0.141T   |   81.725M    |
|    backbone.stages.0                        |    0.629M            |    12.357G |    22.313M   |
|    backbone.stages.1                        |    2.503M            |    12.291G |    11.136M   |
|    backbone.stages.2                        |    85.551M           |    0.105T  |    45.831M   |
|    backbone.stages.3                        |    37.793M           |    11.276G |    2.445M    |
|   backbone.norm1                            |   0.256K             |   8.978M   |   0          |
|    backbone.norm1.weight                    |    (128,)            |            |              |
|    backbone.norm1.bias                      |    (128,)            |            |              |
|   backbone.norm2                            |   0.512K             |   4.516M   |   0          |
|    backbone.norm2.weight                    |    (256,)            |            |              |
|    backbone.norm2.bias                      |    (256,)            |            |              |
|   backbone.norm3                            |   1.024K             |   2.258M   |   0          |
|    backbone.norm3.weight                    |    (512,)            |            |              |
|    backbone.norm3.bias                      |    (512,)            |            |              |
|  neck                                       |  1.411M              |  1.103G    |  4.779M      |
|   neck.convs                                |   0.231M             |   0.83G    |   4.72M      |
|    neck.convs.0                             |    33.28K            |    0.478G  |    3.591M    |
|    neck.convs.1                             |    66.048K           |    0.236G  |    0.903M    |
|    neck.convs.2                             |    0.132M            |    0.117G  |    0.226M    |
|   neck.extra_convs.0                        |   1.18M              |   0.273G   |   59.136K    |
|    neck.extra_convs.0.conv                  |    1.18M             |    0.272G  |    59.136K   |
